strasse;hausnummer;anzahl bussgelder
FRANKFURTER STR.;61;229
IM FERKULUM;;228
VENLOER STR.;227-231;228
WICHTERICHSTR.;;227
ISABELLENSTR.;4;227
GROSSE BUDENGASSE;10;227
GÜRZENICHSTR.;34;227
ADAM-STEGERWALD-STR.;;227
KASPARSTR.;5;226
BRÜCKENSTR.;;226
GRABENGASSE;11-13;226
DILLENBURGER STR.;25;226
ANTONITERSTR.;;226
PFEILSTR.;46;226
TIBERSTR.;;225
NEUSSER STR.;186;225
SIEGBURGER STR.;349;225
NEUSSER STR.;24;225
ANNOSTR.;78;225
BONNER STR.;30;224
KONRAD-ADENAUER-UFER;5;224
GRENGELER MAUSPFAD;183;224
BUCHFORSTSTR.;117;224
KOLUMBASTR.;8;224
GÜRZENICHSTR.;30;224
LÜDERICHSTR.;;224
NIDEGGER STR.;;224
MATERNUSSTR.;27-31;223
KONRAD-ADENAUER-UFER;11;223
EICHSTR.;52;223
KARL-BERBUER-PLATZ;;222
KRUMMER BÜCHEL;;222
FRANKFURTER STR.;12;222
TEMPELSTR.;;222
THEODOR-HEUSS-RING;7;221
BAUDRIPLATZ;;221
FRITZ-VOIGT-STR.;;221
KAPITELSTR.;14;221
KÄMMERGASSE;;220
HERDERSTR.;;220
DOMSTR.;;220
NAGELSCHMIEDGASSE;;220
NEUSSER STR.;14;220
TEUTOBURGER STR.;;220
SERVATIUSSTR.;;219
LEONHARD-TIETZ-STR.;8;219
ARNULFSTR.;14;219
BLAUBACH;9;219
DANZIGER STR. WE;;218
BOCHUMER STR.;2;218
GEREONSMÜHLENGASSE;26;218
BONNER STR.;19;218
DEUTZER FREIHEIT;113;218
GUDRUNSTR. RO;;218
SCHADOWSTR.;;218
SCHANZENSTR.;36;218
MATERNUSSTR.;;218
NONNENWERTHSTR.;;218
MATERNUSSTR. RO;28;218
SIEGBURGER STR.;308/310;217
WRANGELSTR.;;217
VENLOER STR.;325;217
WEYERSTR.;108;217
WALLSTR.;;217
ZEHNTSTR.;;217
KEMPENER STR.;93;217
BARDENHEUERSTR.;9;217
AN DER DREHSCHEIBE;3;217
EISENMARKT;;217
FRANZ-KREUTER-STR.;;217
BERNHARD-LETTERHAUS-STR.;2;216
GUSTAV-RADBRUCH-STR.;4;216
KOMÖDIENSTR.;41;216
EWALDISTR.;1;216
BAUDRIPLATZ;12;216
UNTER KRAHNENBÄUMEN;;216
NEUSSER STR.;49;216
NEUHÖFFERSTR.;32;216
TAKUSTR.;;215
VENLOER STR.;250;215
AACHENER STR.;1208;215
BAYREUTHER STR.;;215
GRASEGGERSTR.;91;215
FRIESENWALL;1;215
KEMPENER STR.;141;215
APOSTELNSTR.;4;215
LUDWIGSTR.;;214
GÜRZENICHSTR.;;214
AUF DEM STAHLSEIL;;214
ANDREASKLOSTER;;214
ALBERTUSSTR.;;214
BERTHA-SANDER-STR.;16;213
AACHENER STR.;555-557;213
APOSTELNSTR.;6;213
PALMSTR.;33;213
RICHARD-WAGNER-STR.;25;213
NIEHLER STR.;72;212
OTTMAR-POHL-PLATZ;1;212
DEUTZER FREIHEIT;72-76;212
GYRHOFSTR.;8C;212
HOHENZOLLERNRING;25;212
EMMERICHER STR.;;212
GEREONSTR.;25-29;211
SCHAAFENSTR.;27;211
REGENTENSTR.;;210
BODENDORFER STR.;5;210
HOLSTEINSTR.;;209
VENLOER STR.;530;209
STAMMSTR.;97B;209
NEUSSER STR.;308;209
LOKOMOTIVSTR.;66;208
KOMÖDIENSTR.;;208
KAISER-WILHELM-RING;27-29;208
KREFELDER WALL;2;207
PETERSBERGSTR.;1-3;207
NEUSSER STR.;5-7;207
SINZIGER STR.;6;206
VENLOER STR.;177;206
OSKAR-JÄGER-STR.;147A;206
ROTHENBURGER STR.;1;206
BONNER STR.;20;206
KARDINAL-FRINGS-STR.;5;206
EVERHARDSTR.;67;206
DEUTZER FREIHEIT;106;206
KAISER-WILHELM-RING;31;205
HÖHENBERGER RING;;205
ATHENER RING;4;205
AM ÖLHAFEN;;205
SUDERMANSTR.;10;205
SALZBURGER HOF;;205
NEUSSER STR.;228;205
SUEVENSTR.;;204
PETER-WELTER-PLATZ;2;204
FRANKENWERFT;;204
ENGELBERTSTR.;1;204
BERNHARD-LETTERHAUS-STR.;4;204
HANSARING;83;203
KITSCHBURGER STR.;242;203
AGRIPPASTR.;1-5;203
KERPENER STR.;61-69;203
LUSTHEIDER STR.;;203
